,Shutter (mV)
0,4927.9785
1,4928.589
2,4929.199
3,4929.8096
4,4930.725
5,4929.8096
6,4930.42
7,4930.42
8,4930.725
9,4930.1147
10,4930.1147
11,4931.6406
12,4931.3354
13,4931.946
14,4931.946
15,4931.6406
16,4931.3354
17,4931.6406
18,4931.946
19,4932.251
20,4931.946
21,4932.556
22,4931.946
23,4932.8613
24,4932.8613
25,4932.251
26,4932.8613
27,4932.556
28,4932.556
29,4931.946
30,4933.4717
31,4933.1665
32,4933.777
33,4932.8613
34,4933.1665
35,4933.777
36,4932.251
37,4932.8613
38,4933.777
39,4934.082
40,4933.777
41,4933.777
42,4934.387
43,4934.082
44,4934.387
45,4935.3027
46,4933.1665
47,4934.082
48,4934.082
49,4934.082
50,4934.082
51,4934.387
52,4935.608
53,4934.082
54,4933.777
55,4934.082
56,4934.082
57,4935.3027
58,4934.082
59,4934.082
60,4934.082
61,4934.387
62,4934.9976
63,4934.082
64,4934.082
65,4934.9976
66,4934.082
67,4934.9976
68,4934.9976
69,4933.4717
70,4934.9976
71,4933.777
72,4933.4717
73,4934.387
74,4934.082
75,4934.082
76,4934.9976
77,4934.9976
78,4935.608
79,4934.387
80,4934.9976
81,4934.9976
82,4934.082
83,4934.082
84,4934.082
85,4934.9976
86,4933.777
87,4933.777
88,4934.082
89,4934.9976
90,4934.9976
91,4934.082
92,4933.777
93,4935.3027
94,4935.608
95,4934.082
96,4933.4717
97,4934.082
98,4934.387
99,4934.082
100,4933.777
101,4934.9976
102,4934.082
103,4933.777
104,4934.387
105,4934.387
106,4934.9976
107,4933.4717
108,4934.387
109,4934.387
110,4934.9976
111,4936.8286
112,4934.387
113,4935.3027
114,4933.4717
115,4933.777
116,4934.9976
117,4934.9976
118,4934.9976
119,4933.777
120,4934.9976
121,4934.387
122,4933.777
123,4934.082
124,4934.082
125,4934.082
126,4934.9976
127,4934.9976
128,4933.777
129,4933.777
130,4934.9976
131,4934.082
132,4934.082
133,4934.082
134,4934.082
135,4934.082
136,4933.777
137,4933.777
138,4933.4717
139,4935.3027
140,4934.082
141,4933.1665
142,4932.8613
143,4933.4717
144,4934.387
145,4934.082
146,4933.777
147,4933.777
148,4932.8613
149,4934.9976
150,4934.082
151,4934.9976
152,4934.082
153,4933.4717
154,4935.608
155,4934.082
156,4934.387
157,4934.9976
158,4934.387
159,4934.9976
160,4933.4717
161,4934.9976
162,4935.913
163,4935.3027
164,4933.1665
165,4934.082
166,4935.913
167,4934.387
168,4935.608
169,4933.777
170,4934.387
171,4934.387
172,4934.082
173,4934.9976
174,4933.777
175,4934.082
176,4934.9976
177,4933.777
178,4934.082
179,4935.3027
180,4933.777
181,4935.3027
182,4934.082
183,4934.082
184,4934.9976
185,4934.082
186,4934.082
187,4934.082
188,4934.082
189,4934.082
190,4934.387
191,4934.082
192,4934.082
193,4935.608
194,4935.3027
195,4934.9976
196,4933.777
197,4934.082
198,4934.387
199,4934.082
200,4935.3027
201,4934.082
202,4934.082
203,4933.777
204,4934.387
205,4934.9976
206,4934.082
207,4934.082
208,4934.082
209,4933.4717
210,4933.777
211,4933.777
212,4933.777
213,4934.387
214,4935.3027
215,4933.4717
216,4934.387
217,4934.387
218,4935.3027
219,4934.082
220,4934.387
221,4934.387
222,4934.082
223,4934.387
224,4934.387
225,4934.387
226,4934.387
227,4934.9976
228,4934.9976
229,4934.387
230,4935.608
231,4934.9976
232,4934.082
233,4935.913
234,4934.387
235,4932.556
236,4934.9976
237,4934.387
238,4934.082
239,4935.608
240,4934.9976
241,4933.777
242,4934.387
243,4934.082
244,4934.082
245,4934.082
246,4933.777
247,4934.082
248,4933.777
249,4933.777
250,4933.777
251,4935.608
252,4933.4717
253,4934.082
254,4935.608
255,4934.9976
256,4933.4717
257,4934.9976
258,4934.082
259,4934.082
260,4933.777
261,4933.4717
262,4934.082
263,4934.9976
264,4934.082
265,4934.387
266,4933.777
267,4934.387
268,4935.3027
269,4934.9976
270,4934.082
271,4933.777
272,4935.3027
273,4934.082
274,4934.082
275,4935.3027
276,4934.9976
277,4933.777
278,4934.082
279,4934.082
280,4933.777
281,4934.387
282,4934.387
283,4934.082
284,4933.777
285,4933.777
286,4935.608
287,4933.777
288,4933.4717
289,4934.082
290,4934.387
291,4934.387
292,4934.082
293,4934.387
294,4933.4717
295,4933.777
296,4934.082
297,4933.777
298,4935.3027
299,4935.3027
300,4934.082
301,4933.777
302,4934.387
303,4934.082
304,4934.9976
305,4933.777
306,4932.8613
307,4934.387
308,4933.777
309,4934.082
310,4934.082
311,4934.387
312,4933.777
313,4935.3027
314,4934.387
315,4934.082
316,4934.387
317,4934.9976
318,4934.387
319,4934.082
320,4934.082
321,4934.387
322,4934.082
323,4934.9976
324,4934.9976
325,4934.082
326,4934.082
327,4933.4717
328,4934.082
329,4934.082
330,4933.777
331,4934.082
332,4934.387
333,4933.4717
334,4934.387
335,4934.387
336,4934.082
337,4934.082
338,4934.082
339,4935.3027
340,4933.4717
341,4934.082
342,4934.387
343,4934.387
344,4933.4717
345,4934.9976
346,4933.4717
347,4932.8613
348,4934.082
349,4934.9976
350,4933.4717
351,4934.387
352,4933.777
353,4934.9976
354,4933.777
355,4933.4717
356,4933.777
357,4934.387
358,4935.913
359,4933.1665
360,4934.082
361,4934.387
362,4935.608
363,4934.387
364,4934.387
365,4934.082
366,4934.387
367,4934.9976
368,4934.082
369,4934.082
370,4933.777
371,4934.387
372,4935.3027
373,4934.9976
374,4934.387
375,4933.4717
376,4934.9976
377,4933.1665
378,4934.387
379,4933.777
380,4933.777
381,4934.387
382,4934.387
383,4933.1665
384,4934.387
385,4934.9976
386,4934.9976
387,4934.9976
388,4934.9976
389,4934.387
390,4934.387
391,4933.4717
392,4935.3027
393,4933.777
394,4932.8613
395,4934.387
396,4933.777
397,4934.387
398,4934.9976
399,4935.3027
400,4934.082
401,4934.082
402,4934.9976
403,4934.387
404,4934.387
405,4934.387
406,4934.9976
407,4934.387
408,4934.9976
409,4934.082
410,4934.387
411,4934.387
412,4934.9976
413,4934.9976
414,4935.3027
415,4934.082
416,4934.9976
417,4934.387
418,4935.3027
419,4934.082
420,4934.082
421,4935.3027
422,4933.777
423,4934.387
424,4934.082
425,4935.3027
426,4935.3027
427,4934.082
428,4935.913
429,4934.082
430,4933.777
431,4934.387
432,4934.387
433,4934.387
434,4934.9976
435,4935.3027
436,4935.3027
437,4933.4717
438,4934.082
439,4935.3027
440,4934.387
441,4934.9976
442,4933.777
443,4935.608
444,4934.082
445,4935.608
446,4934.387
447,4934.082
448,4934.082
449,4934.082
450,4934.387
451,4934.387
452,4933.777
453,4934.082
454,4934.387
455,4933.777
456,4934.082
457,4934.9976
458,4934.9976
459,4934.082
460,4934.387
461,4933.4717
462,4934.082
463,4934.082
464,4934.387
465,4934.082
466,4933.4717
467,4934.082
468,4934.082
469,4932.8613
470,4933.777
471,4934.082
472,4934.082
473,4934.082
474,4934.387
475,4934.082
476,4934.082
477,4934.082
478,4933.4717
479,4934.082
480,4933.777
481,4934.387
482,4934.387
483,4933.777
484,4933.4717
485,4934.082
486,4934.387
487,4932.8613
488,4933.4717
489,4934.9976
490,4933.777
491,4933.777
492,4933.777
493,4933.777
494,4933.4717
495,4933.777
496,4933.777
497,4934.082
498,4934.082
499,4933.777
500,4933.4717
501,4933.777
502,4933.4717
503,4932.8613
504,4933.4717
505,4933.4717
506,4934.082
507,4933.4717
508,4933.4717
509,4933.4717
510,4934.082
511,4933.4717
512,4932.8613
513,4934.082
514,4933.4717
515,4932.8613
516,4932.8613
517,4934.082
518,4933.1665
519,4933.777
520,4934.082
521,4933.4717
522,4934.082
523,4932.8613
524,4933.777
525,4933.1665
526,4933.4717
527,4933.1665
528,4933.1665
529,4934.082
530,4933.4717
531,4934.082
532,4933.4717
533,4934.082
534,4932.8613
535,4933.777
536,4933.777
537,4933.1665
538,4933.4717
539,4933.777
540,4933.777
541,4934.387
542,4933.1665
543,4933.1665
544,4933.4717
545,4932.8613
546,4931.6406
547,4933.777
548,4933.1665
549,4933.4717
550,4933.1665
551,4933.4717
552,4934.387
553,4932.8613
554,4933.1665
555,4934.387
556,4933.4717
557,4932.8613
558,4933.1665
559,4933.4717
560,4932.8613
561,4933.4717
562,4933.1665
563,4933.4717
564,4933.777
565,4932.556
566,4933.1665
567,4933.777
568,4933.4717
569,4933.4717
570,4932.8613
571,4933.4717
572,4933.4717
573,4933.1665
574,4932.556
575,4931.6406
576,4932.8613
577,4933.4717
578,4931.946
579,4932.556
580,4933.1665
581,4933.777
582,4932.556
583,4933.1665
584,4933.1665
585,4933.4717
586,4933.4717
587,4933.1665
588,4932.8613
589,4932.251
590,4932.8613
591,4933.1665
592,4933.1665
593,4931.946
594,4932.556
595,4932.8613
596,4932.251
597,4932.8613
598,4933.1665
599,4933.777
600,4932.8613
601,4931.946
602,4932.8613
603,4932.8613
604,4933.1665
605,4935.3027
606,4932.8613
607,4932.556
608,4933.4717
609,4932.8613
610,4933.1665
611,4932.8613
612,4932.556
613,4933.4717
614,4932.251
615,4932.8613
616,4933.1665
617,4933.1665
618,4932.556
619,4932.8613
620,4932.556
621,4932.556
622,4932.556
623,4932.556
624,4932.251
625,4932.8613
626,4933.1665
627,4933.4717
628,4932.556
629,4932.556
630,4932.556
631,4934.9976
632,4931.946
633,4932.8613
634,4932.251
635,4932.556
636,4934.082
637,4933.1665
638,4932.251
639,4932.8613
640,4932.8613
641,4933.4717
642,4932.251
643,4932.556
644,4933.777
645,4932.8613
646,4933.4717
647,4932.8613
648,4932.251
649,4933.4717
650,4933.4717
651,4932.8613
652,4932.556
653,4931.6406
654,4933.1665
655,4933.777
656,4932.556
657,4933.4717
658,4932.8613
659,4932.556
660,4932.251
661,4932.251
662,4933.4717
663,4932.251
664,4931.946
665,4932.556
666,4932.8613
667,4932.556
668,4932.8613
669,4932.556
670,4931.6406
671,4932.251
672,4932.556
673,4932.556
674,4932.251
675,4933.1665
676,4932.8613
677,4932.556
678,4932.556
679,4932.8613
680,4932.8613
681,4932.556
682,4932.8613
683,4933.1665
684,4933.1665
685,4932.8613
686,4931.946
687,4933.1665
688,4932.556
689,4933.1665
690,4932.556
691,4932.8613
692,4932.556
693,4932.251
694,4932.8613
695,4932.251
696,4932.556
697,4932.556
698,4932.8613
699,4932.251
700,4933.1665
701,4932.556
702,4932.8613
703,4931.6406
704,4932.8613
705,4932.556
706,4932.8613
707,4932.556
708,4932.8613
709,4931.6406
710,4932.251
711,4932.556
712,4931.946
713,4932.8613
714,4931.946
715,4933.1665
716,4932.8613
717,4932.251
718,4933.1665
719,4932.556
720,4931.6406
721,4932.251
722,4932.251
723,4932.556
724,4931.6406
725,4931.6406
726,4932.8613
727,4933.1665
728,4931.6406
729,4932.251
730,4932.8613
731,4932.8613
732,4932.556
733,4931.946
734,4932.251
735,4932.556
736,4932.556
737,4931.6406
738,4931.6406
739,4932.556
740,4932.556
741,4931.946
742,4931.6406
743,4931.946
744,4931.946
745,4933.4717
746,4932.251
747,4932.556
748,4931.3354
749,4931.6406
750,4932.556
751,4932.556
752,4931.3354
753,4931.0303
754,4932.8613
755,4932.251
756,4932.251
757,4932.8613
758,4932.556
759,4931.946
760,4931.6406
761,4932.556
762,4931.6406
763,4931.946
764,4932.251
765,4932.251
766,4931.3354
767,4932.251
768,4932.8613
769,4932.556
770,4932.251
771,4931.946
772,4931.946
773,4931.3354
774,4931.6406
775,4932.556
776,4932.251
777,4932.556
778,4932.251
779,4932.251
780,4933.1665
781,4931.6406
782,4933.4717
783,4932.556
784,4931.946
785,4931.946
786,4932.556
787,4932.251
788,4931.3354
789,4932.251
790,4931.946
791,4931.946
792,4933.1665
793,4931.946
794,4932.556
795,4931.3354
796,4931.946
797,4931.946
798,4931.3354
799,4931.6406
800,4932.556
801,4931.946
802,4932.556
803,4931.946
804,4931.3354
805,4932.556
806,4931.3354
807,4932.251
808,4931.3354
809,4932.251
810,4931.946
811,4932.251
812,4931.946
813,4932.556
814,4931.946
815,4931.946
816,4931.3354
817,4932.8613
818,4932.251
819,4931.946
820,4932.556
821,4931.946
822,4932.556
823,4931.946
824,4931.6406
825,4932.251
826,4931.946
827,4932.556
828,4932.556
829,4931.3354
830,4931.3354
831,4932.251
832,4931.946
833,4931.946
834,4931.946
835,4931.946
836,4931.6406
837,4931.6406
838,4932.8613
839,4932.251
840,4932.251
841,4931.946
842,4931.6406
843,4932.556
844,4931.6406
845,4932.8613
846,4932.556
847,4931.946
848,4930.725
849,4931.6406
850,4931.6406
851,4932.251
852,4933.777
853,4932.8613
854,4931.946
855,4931.946
856,4932.251
857,4933.1665
858,4931.946
859,4932.8613
860,4931.946
861,4931.0303
862,4931.6406
863,4932.251
864,4932.556
865,4931.6406
866,4931.0303
867,4931.6406
868,4932.556
869,4931.0303
870,4932.251
871,4931.946
872,4932.251
873,4931.3354
874,4931.946
875,4931.946
876,4932.556
877,4931.6406
878,4932.251
879,4931.6406
880,4931.6406
881,4932.251
882,4932.556
883,4931.6406
