,Vm1 (mV)
0,0.12207031
1,0.2746582
2,0.15258789
3,0.12207031
4,0.030517578
5,0.061035156
6,0.030517578
7,0.030517578
8,0.030517578
9,0.091552734
10,0.091552734
11,0.12207031
12,0.15258789
13,-0.091552734
14,0.12207031
15,0.091552734
16,0.061035156
17,0.15258789
18,-0.21362305
19,0.15258789
20,-0.030517578
21,0.091552734
22,-0.030517578
23,-0.091552734
24,0.15258789
25,-0.061035156
26,0.030517578
27,0.061035156
28,-0.030517578
29,0.061035156
30,0.061035156
31,0.091552734
32,0.15258789
33,0.12207031
34,0.061035156
35,0.061035156
36,0.091552734
37,0.091552734
38,-0.030517578
39,-0.030517578
40,0.24414062
41,0.18310547
42,0.12207031
43,0.030517578
44,0.061035156
45,-0.030517578
46,-0.030517578
47,-0.091552734
48,-0.030517578
49,0.030517578
50,0.061035156
51,0.061035156
52,0.39672852
53,0.4272461
54,0.21362305
55,0.061035156
56,0.030517578
57,0.45776367
58,0.15258789
59,0.030517578
60,-0.030517578
61,0.15258789
62,0.061035156
63,0.24414062
64,0.21362305
65,0.15258789
66,0.15258789
67,0.18310547
68,0.21362305
69,0.24414062
70,0.030517578
71,0.24414062
72,-0.061035156
73,-0.030517578
74,0.2746582
75,0.45776367
76,0.091552734
77,0.030517578
78,-0.061035156
79,0.15258789
80,0.12207031
81,0.061035156
82,-0.030517578
83,0.030517578
84,-0.061035156
85,0.24414062
86,-0.030517578
87,0.24414062
88,0.061035156
89,-0.061035156
90,0.061035156
91,-0.030517578
92,0.12207031
93,0.15258789
94,0.091552734
95,-0.030517578
96,0.030517578
97,0.18310547
98,0.030517578
99,0.061035156
100,0.030517578
101,-0.091552734
102,0.2746582
103,0.091552734
104,0.18310547
105,0.061035156
106,0.061035156
107,0.24414062
108,0.030517578
109,0.061035156
110,-0.030517578
111,0.091552734
112,0.030517578
113,0.030517578
114,-0.030517578
115,-0.24414062
116,0.030517578
117,0.061035156
118,0.12207031
119,0.39672852
120,0.091552734
121,0.091552734
122,0.091552734
123,0.061035156
124,-0.030517578
125,0.15258789
126,0.24414062
127,0.091552734
128,-0.091552734
129,-0.030517578
130,-0.061035156
131,-0.030517578
132,0.061035156
133,-0.030517578
134,0.091552734
135,0.030517578
136,0.061035156
137,-0.24414062
138,0.15258789
139,-0.030517578
140,0.030517578
141,0.18310547
142,-0.030517578
143,-0.091552734
144,0.2746582
145,0.091552734
146,0.39672852
147,-0.061035156
148,0.21362305
149,0.091552734
150,0.030517578
151,0.030517578
152,0.091552734
153,0.12207031
154,0.030517578
155,-0.061035156
156,0.030517578
157,0.061035156
158,0.030517578
159,-0.21362305
160,-0.15258789
161,0.21362305
162,0.12207031
163,0.030517578
164,0.061035156
165,0.030517578
166,0.030517578
167,-0.030517578
168,0.030517578
169,-0.030517578
170,0.091552734
171,0.12207031
172,0.21362305
173,0.2746582
174,0.091552734
175,0.091552734
176,0.030517578
177,0.091552734
178,0.12207031
179,0.030517578
180,0.061035156
181,-0.030517578
182,-0.15258789
183,-0.15258789
184,0.12207031
185,0.061035156
186,0.091552734
187,0.18310547
188,0.18310547
189,-0.061035156
190,-0.030517578
191,-0.030517578
